home 0x01
titlebar 0x02
popup 0x03
media-music 0x04
media-video 0x05
media-image 0x06
radio 0x07
bt 0x08
ime 0x09
syssetting 0x0A
vehsetting 0x0B
navi 0x0C
diag 0x0D
phonelink 0x0E
camera 0x0F
radar 0x10
tbox 0x11
vr 0x12
background 0x13
demo 0x14
animation-player 0x15
media-carplay 0x16
media-carlife 0x17
media-service 0x18
boot-animation 0x19
sync 0x1A
browser 0x1B
cloud 0x1C
aircondition 0x1D
flappybird 0x1E
touch-forbidder 0x1F
gesture-recognizer 0x20
engineering 0x21
avm 0x22
media-ipod 0x23
media-phone-ser 0x24
media-sm-svr 0x25
help 0x26
factory 0x27
media-app-server 0x28
tbox-ibcall 0x29
tbox-ecall 0x2A
child-lock 0x2B
qqmusic 0x2C
amapnavi 0x2D
smarthome 0x2E
ximalaya 0x2F
parkingpayment 0x30
emotionnews 0x31
